Burger Name,Burger Description,Restaurant,Price,Year,Beef,Chicken,Duck,Lamb,Pork,Seafood,Sweet,Vegetarian,Venison,Not Your Usual,Finalist,Winner
Smoked Venison Burger,Smoked venison meatballs with Whittaker's 72% dark chocolate jus and remoulade slaw in a Clareville Bakery charcoal bun,Beat Kitchen,$18.00,2018,,,,,,,,,Yes,,,
Fowl Play,"Cornflake-crusted chicken with cheese slice, bread & butter pickle slaw, maple-cured bacon and tangy sauce in toasted fairy bread, with waffle fries and dip",Bebemos,$21.00,2018,,Yes,,,,,,,,,,
The Executive Decision,"Whisky dry-aged Wagyu patty, smoked cheese, habanero sauce, caramelised onion and iceberg in a housemade buttermilk bun, with fries",Bellamys by Logan Brown,$22.00,2018,Yes,,,,,,,,,,,
The Aloha,"Longbush Free Range grilled pork, tequila-infused pineapple ring, chipotle slaw and Kingsmeade Wairarapa Jack cheese in an Arobake milk bun, with fries",Bellbird Eatery,$20.00,2018,,,,,Yes,,,,,,,
"Make Love, Eat Burger","Hemp-smoked beef patty, three-day slow-cooked candied bacon and mushroom jam, homesmoked cheese, with pit-fire chips and wavy gravy dipping sauce",Bethel Woods,$23.00,2018,Yes,,,,,,,,,,,
Bettys Street Burger,"Chicken breast with tobacco onion, Waikanae crab mayo and Creole pickles in a buttermilk bun, with shoestring fries and BBQ ketchup",Bettys Function House and Bar,$19.00,2018,,Yes,,,,,,,,,,
Big 44,"Double Angus beef, double smoked cheddar, gherkins, pickled beetroot and burger sauce in a Pasteleria Sans Rival sesame ciabatta bun.",Bin44 Restaurant + Bar,$21.00,2018,Yes,,,,,,,,,,,
Jerk 'n' Juice,"Jerk-marinated chicken thigh with mango and Boneface ""The Juice"" beer relish, baconnaise and Zany Zeus chilli feta in a Pandoro milk bun, with handcut fries",Boneface Tap Room and Kitchen,$22.00,2018,,Yes,,,,,,,,,,
Shanks A Lot!,"Shanks A Lot! Lamb patty with pulled slow braised lamb shank, roast vegetables, aioli and minted pea purée in a rosemary bun, with potato dauphinoise",Boulcott Street Bistro,$24.00,2018,,,,Yes,,,,,,,,
Meet the Demeater,"Double beef patty, bourbon-BBQ sauce, pineapple, smoked Monterey Jack cheese, streaky bacon, and fried egg in a chilli cornbread bun, with beer battered chips",Brew'd Boulcott,$23.00,2018,Yes,,,,,,,,,,,
The Orson's Farm Carnival,"Housemade chorizo patty with orange and beetroot relish, Emmental cheese, goat's cheese mayo and butterhead lettuce in a buttermilk bun, with fries",Brew'd Island Bay,$23.00,2018,,,,,Yes,,,,,,,
Viva Stokes Vegas,"Prime beef patty stuffed with smoked cheddar, champagne bacon, diced tomatoes, mustard and burger sauce, with chunky chips and house aioli",Brew'd Stokes Valley,$23.00,2018,Yes,,,,,,,,,,,
Deer Wellington,"Grilled venison patty, Kāpiti crab, cinnamon-roasted butternut squash with crab mayo on a toasted bun, with fries",Brunch & Burger,$18.00,2018,,,,,,,,,Yes,,,
Party Popper,"Beef patty with candied bacon, cheese, salt 'n' vinegar crisps, Fanta-BBQ sauce, in an Arobake 'lucky dip fun bun', with a take-home party bag",Burger Liquor,$17.00,2018,Yes,,,,,,,,,,,
Burbs Party Cheeseburger,"Beef and pork patty with grilled cheddar and bacon, Acme gherkins, and house BBQ sauce in a Zaida's Bakery milk bun, with smoked paprika fries",Burnies Bar and Grill,$20.00,2018,Yes,,,,Yes,,,,,,,
Oh My Deer,"Bitter chocolate venison with wood-fired Portobello mushroom, fennel and pear slaw and porcini aioli in a Clareville Bakery brioche bun, with fries",Café Medici,$23.00,2018,,,,,,,,,Yes,,,
BEAST,"Wagyu beef patty, Kāpiti Kikorangi blue cheese, watercress, caramelised pickled onions, bacon and balsamic mayo in a blue milk bun, with salt and vinegar fries",Café Polo,$25.00,2018,Yes,,,,,,,,,,,
K One W One,"Venison and pāuā party patty, fried egg, beetroot relish and bacon in a wholemeal bun, with chips",Capitol Restaurant,$25.00,2018,,,,,,Yes,,,Yes,,,
Sweet As' Kiwi Burger,"Puffed rice and chocolate gelato patty, gelato egg, sorbet tomato, plum beetroot, candy floss lettuce, white chocolate cheese and raspberry ketchup on a doughnut bun",Carrello del Gelato,$16.00,2018,,,,,,,Yes,,,,,
Charley Had a Little Lamb,"Moroccan lamb patty, housemade lamb bacon, tamarillo relish, minted Zany Zeus yoghurt, sheep feta, in a rosemary Brezelmania bun, with kūmara crisps",Charley Noble Eatery & Bar,$25.00,2018,,,,Yes,,,,,,,,
The Rosebud,Pork belly with rosebud chutney and apple slaw in a steamed bun,Chow,$18.00,2018,,,,,Yes,,,,,,,
Carousel Burger,"Mussel fritter with prawns, cherry tomato and sauce gribiche in a Zany Zeus milk bun with shoestring fries and malt vinegar mayo",Circa Theatre Café and Bar,$18.00,2018,,,,,,Yes,,,,,,
Bash Burger,BBQ cauliflower and chickpea patty with BBQ spices and creamy lime slaw in an Arobake bun,City Dining & Bar,$10.00,2018,,,,,,,,Yes,,,,
The Jewel of Sambal,"Fried chicken with mushroom and Malay-sambal, L’affare coffee-glazed bacon and Gruyere cheese in Pandoro milk bun, with chilli wedges",CoCo at the Roxy,$25.00,2018,,Yes,,,,,,,,,,
The Wok Burger,"Beef steak patty with stir-fried cabbage, mushroom, bacon, egg, gherkin, salad and cheddar in an Arobake bun, with fries",Coco's Bar & Grill,$19.00,2018,Yes,,,,,,,,,,,
The Jukebox,"Grassfed Angus Pure beef patty, American cheese, Detroit Pickle, Commander Coene's dill mayo special sauce in a soft milk bun with French fries",Coene's Bar & Eatery,$24.00,2018,Yes,,,,,,,,,,,
Tteok Galbi,"Korean charcoal beef patty with dehydrated beetroot, ketchup leather and smoked onion, with deep-fried potato mash-ball-skewers",Comes & Goes,$22.00,2018,Yes,,,,,,,,,,,
Le Coq Du Matin,"Cajun buttermilk chicken and smoky maple-bacon, with sautéed banana, crushed peanuts and smoked cheddar on fried ciabatta, with fries",Concrete Bar & Restaurant,$20.00,2018,,Yes,,,,,,,,,,
Wasab’ Wellington?!,"Teriyaki-marinated beef patty, wasabi mayo coleslaw, cucumber, daikon and cheese sauce in a toasted milk bun, with Agria fries",CQ Restaurant and Bar,$20.00,2018,Yes,,,,,,,,,,,
Oh Deer Me!,"Venison patty with baked pear, housemade fig and pear chutney, lettuce and mayo in a Zaida's Bakery milk bun, with fries",Craft Beer & Pizza,$16.00,2018,,,,,,,,,Yes,,,
Best Tenure Burger,"Beef patty with salad, Cheddar, housemade ketchup, and lemon and caper aioli in an Arobake brioche bun, with handcut fries",Cuba St Bistro,$22.00,2018,Yes,,,,,,,,,,,
The Deep South,"Beef brisket and gravy with slaw, tomato, pickles and smoked cheese in a toasted Arobake sesame bun, with Cajun fries and Louisiana remoulade",D4 on Featherston,$24.00,2018,Yes,,,,,,,,,,,
Light the Fireworks,"Garam masala-spiced lamb, textured onion bhaji with Fix & Fogg Smoke and Fire and mango lassi dressing in a brioche bun, with fries",D4 Raumati,$23.00,2018,,,,Yes,,,,,,,,
Red Eye Chook,"Fried chicken, whipped maple butter, Kāpiti Cheddar and Acme pickles with Garage Project Red Eye beer & Havana coffee gravy in a buttermilk and Kāpiti cheese scone “bun”, with pork crackling-dusted fries",Dillinger's,$24.00,2018,,Yes,,,,,,,,,,
Leonardo da Pinchi,Garage Project beer-battered soft-shell crab with mango slaw,Dockside Restaurant & Bar,$23.00,2018,,,,,,Yes,,,,,,
Shinjuku Burger,"Crumbed pork cutlet with tsukemono slaw, tonkatsu shrimp and togarashi in a steamed sesame bun, with Japanese mirin and soy-glazed sweet potatoes",Dragonfly,$25.00,2018,,,,,Yes,,,,,,,
Clucking Good Time,"Fried chicken with housemade katsu sauce, Japanese mayo and sliced cabbage in a housemade milk bun",Egmont St. Eatery,$20.00,2018,,Yes,,,,,,,,,,
Gemma Lily Vegan Burger,"Housesmoked tofu, grilled flat brown mushroom, pickled cabbage and roasted red capsicum in a sesame bun",Ekim Burgers,$12.00,2018,,,,,,,,Yes,,,,
Loco Chicken Burger,"Fried chicken with chipotle slaw, housemade mango chutney in a corn and chilli bun, with patatas bravas","El Matador - Café, Asador Grill & Bar",$21.00,2018,,Yes,,,,,,,,,,
Chick 'n' Swiss,"Juicy corn chip-crumbed chicken with Kāpiti Te Horo Swiss cheese, rhubarb chutney and seeded slaw in a Zaida's Bakery milk bun, with thick cut fries",Eva Beva,$22.00,2018,,Yes,,,,,,,,,,
The El Fidelito Waffler,"Creole fried chicken with BBQ corn salsa, pickled red onions, cheddar, Fix & Fogg Smoke & Fire sauce and housemade ranch, served in between waffles and gravy on the side",Fidel's Café,$18.00,2018,,Yes,,,,,,,,,,
Henneything is Possible,"Hennessy-marinated beef brisket patty with jalapeño cheese, Hennessy bacon jam and pickles in a housebaked gold leaf-flaked potato bun, with fries",Five Boroughs,$25.00,2018,Yes,,,,,,,,,,,
The Happy Burger,"Harrington’s beef and bacon patty with housesmoked cheese and Rocket Fuel sauce in a toasted Pandoro milk bun, with fries cooked in beef tallow",Food for the People,$16.00,2018,Yes,,,,,,,,,,,
Totally Fermental,"Beer-braised beef brisket with kimchi, labneh and sweet and spicy pickles in a Brezelmania bun, with hop-salt fries and beer aioli",Fork & Brewer,$22.00,2018,Yes,,,,,,,,,,,
Piggy in the Middle,"Strathmore Butchery pork and horopito sausage with apple, fennel and lime chutney, slaw, and mayo in a Zaida's Bakery milk bun, with rustic chips",Foxglove Bar & Kitchen,$22.00,2018,,,,,Yes,,,,,,,
Oh Deer It's Kina Good,"Wild venison and kina pâté with smoked onion jam and free range fried egg in a beetroot buttermilk bun, with rosti nuggets and creamy pāuā sauce",FRANK'S Terrace,$20.00,2018,,,,,,,,,Yes,,,
Che Burger,"Beef patty with fried egg, cheese and chimichurri mayo in a housemade bun, with fries",Franziska,$17.00,2018,Yes,,,,,,,,,,,
Italians Can Do Burgers Too,"Primestar™ Beef and Zany Zeus ricotta patty with beetroot chutney, pancetta and Zany Zeus smoked brinza in mini focaccia, with truffled Parmesan fries",Fratelli,$22.00,2018,Yes,,,,,,,,,,,
Lil Piggy Went to Glasshouse,"Pulled pork with apple rosti, slaw, caramelised onions, streaky bacon and Cheddar, with handcut fries and apple gravy",Glasshouse Bar and Grill,$19.00,2018,,,,,Yes,,,,,,,
The Local,"Southern Louisiana-style smoked brisket with jalapeño slaw, gouda and housemade spicy BBQ sauce in a Greytown French Baker bun, with fries",Greytown Hotel,$20.00,2018,Yes,,,,,,,,,,,
Piggy McPigface,"Beef patty with Sriracha-candied bacon, bacon marmalade, bacon and pickle aioli and feta whip in a Pandoro bacon bun, with fries",Grill Meats Beer,$25.00,2018,Yes,,,,,,,,,,,
Moroccan Lamb,"Moroccan spiced lamb shoulder with whipped feta, mint, beetroot and harissa on an Arobake potato bun, with eggplant chips and hummus",Henry Pollen's,$22.00,2018,,,,Yes,,,,,,,,
Beery Had a Lotta Lamb,"Heyday beer-braised Wairarapa lamb shoulder, with rocket, berry compote and minted aioli in an Arobake milk bun, with roast potatoes and Heyday gravy",Heyday Beer Co,$20.00,2018,,,,Yes,,,,,,,,
#ThatKidInClassHasAParty,"Beef patty with Kingsmeade cheese, potato crisps and saveloy, with fries and a fairy bread milkshake on the side.",Hillside Kitchen & Cellar,$20.00,2018,Yes,,,,,,,,,,,
Le Petit Déjeuner,"Chorizo and black pudding patty with a frittata, and tomato chutney in a Clareville Bakery brioche bun, with hashbrown tots and mustard aioli",Hippopotamus Restaurant,$26.00,2018,,,,,Yes,,,,,,,
Double Trouble,"Adobo beef patty with bak kwa jerky, pineapple achar, confit lime mayo in a housemade milk bun, with kūmara crisps and Sriracha mayo",Hot Sauce,$21.00,2018,Yes,,,,,,,,,,,
Fat Tuesday,"Fried chicken with BBQ chilli sauce, pickles, ham hock and okra gumbo and pickled slaw in a Brezelmania milk bun",HUSK Bar & Eatery,$20.00,2018,,Yes,,,,,,,,,,
J.H. Hooley Burger,"Dijon beef patty, Island Bay Butchery pork sausage with Kāpiti Pakari smoked Cheddar and salad in a bun, with onion rings and fries",Jack Hackett's Irish Pub,$22.00,2018,Yes,,,,,,,,,,,
Firecracker,"Breaded spicy chicken fillet in aromatic rendang paste with grilled pineapple, lettuce, tomato and red onion in a milk bun, with beer-battered fries",Juniper Restaurant & Bar,$20.00,2018,,Yes,,,,,,,,,,
Big Fella,"Steak patty with kaffir lime leaves, salad, fish sauce dressing, pickled carrot and scrambled eggs, with steak sauce",K&K FOOD CARAVAN,$18.00,2018,Yes,,,,,,,,,,,
High Society Burger,"Hemp and curried lentil patty in an Arobake poppy seed bun with butterhead lettuce, tomato, avocado and beetroot raita, with aloo bonda",Kanteen,$19.00,2018,,,,,,,,Yes,,,,
Matariki Ahunga Nui,"Smoked pork belly, watercress and horopito hollandaise in kūmara fried bread, with kūmara bites and chipotle mayo",Karaka Café,$20.00,2018,,,,,Yes,,,,,,,
Rosy Cheeky Lamb Burger,"Lamb, blue cheese, smoked beetroot and homemade pickles in an Arobake paprika bun, with seasoned chips",Kelburn Village Pub,$20.00,2018,,,,Yes,,,,,,,,
Ika Tikka Light,"Tikka marinated white fish with iceberg, in a paratha with pickled cucumber and mango chutney, with sweet potato fries",Khandallah Trading Company,$23.00,2018,,,,,,Yes,,,,,,
The Perfect Game,"Crispy buttermilk fried chicken with kimchi, salted cucumber, spring onion, and chilli mayo in a Zaida's Bakery milk bun, with shoestring fries",Lanes Bar and Bowling,$20.00,2018,,Yes,,,,,,,,,,
Eye Of The Tiger,"Trang Province-inspired Pirinoa beef patty with feisty Thai spices, in a Zaida's Bakery bun, with trimmings",Laundry,$19.00,2018,Yes,,,,,,,,,,,
Le Coq Au Vin,Red wine-braised chicken thigh with bacon and pickled mushroom chutney in a toasted potato bun,Le Samouraï,$20.00,2018,,Yes,,,,,,,,,,
The Ghost of Zorro,"Pork chorizo patty with mango chutney, Kāpiti Smoked Havarti cheese, saffron aioli and rocket in a Zaida's Bakery squid-ink bun, with dirty fries and gravy",Leroy's Bar,$22.00,2018,,,,,Yes,,,,,,,
Le Coq in a Bun,"Spiced crispy chicken with field greens, pepper aioli, mango chutney and smoked pig on Zaida's Bakery mini focaccia, with frites",Leuven Belgian Beer Café,$20.00,2018,,Yes,,,,,,,,,,
Cluck The Police,"Nashville fried chicken, manuka honey bacon brittle with pickles, celeriac remoulade and blue cheese dressing, with truffled fries",Little Beer Quarter,$23.00,2018,,Yes,,,,,,,,,,
Wagyu Marrow Me,"Wagyu and smoked bone marrow patty with aged cheddar, onion rings and prosciutto in a Pandoro bun, with handcut fries",Logan Brown Restaurant,$26.00,2018,Yes,,,,,,,,,,,
Shakabra,Raw marinated yellow fin tuna with soy and sesame wild rice and a tempura topper,Lola Stays,$23.00,2018,,,,,,Yes,,,,,,
Breakfast for Dinner,"Chicken with maple-candied Waikanae Butchery bacon, Kāpiti smoked Havarti cheese, Pickle & Pie pickles and Lucky sauce in a waffle bun, with gravy fries",Lucky,$20.00,2018,,Yes,,,,,,,,,,
Summer is Coming,"Pulled pork in Kansas BBQ sauce with pickled cabbage and apple slaw, lettuce and apple mayo in a Zaida's Bakery milk bun, with fries",Lucky Strike Beer and Brisket,$20.00,2018,,,,,Yes,,,,,,,
The Pineapple Express,"Preston's smoked huli huli chicken, fresh pineapple mustard, Szechuan pickles and kava mayo in a Pandoro bun, with fries",LuLu,$25.00,2018,,Yes,,,,,,,,,,
17 Days of the Dead,"Chipotle pulled pork, apple and red cabbage pickle, corn chips and Cheddar in a Brezelmania chilli corn bun, with shoestring fries and spicy gravy",Mac's Brewbar,$22.00,2018,,,,,Yes,,,,,,,
Beached As Burger,"Pork, fennel and black pudding patty, cavolo nero, salsa verde, celeriac remoulade, and cucumber and fennel pickle, with red capsicum and jalapeño relish in a Shelly Bay Baker brioche bun, with tempura onion rings",Maranui Café,$22.00,2018,,,,,Yes,,,,,,,
The Vegan Bus is Coming,"Beetroot, black bean, quinoa and kale patty with mushroom sauce and vegan cheese in a hemp seed bun, with crispy kale chips and roasted chickpeas",Marine Parade Eatery,$22.00,2018,,,,,,,,Yes,,,,
Fried Chicken Torta,"Fried chicken torta with chipotle mayo, hot sauce, red slaw, jalapeño crema and citrus-cured onion in a bun smothered in salsa de ajo",Mexico,$17.00,2018,,Yes,,,,,,,,,,
Heart in the Right Place,"Crunchy chicken thigh, chicken liver pâté, BBQ chicken hearts and fried banana in a bacon bun",Milk & Honey,$19.00,2018,,Yes,,,,,,,,,,
Sheep Thrills,"Pulled lamb shoulder with housemade harissa, Peka Peka spinach and grain salad in an Arobake bun, with kūmara crisps",Ministry of Food,$22.00,2018,,,,Yes,,,,,,,,
Texas Mule,"Texas-style smoked brisket, cactus and iceberg slaw and peach relish in a ciabatta bun, with handcut fries",Miramar Gasworks,$23.00,2018,Yes,,,,,,,,,,,
The Firestarter,"Pulled beef cheek and beer-spiked fondue sandwiched in a Zaida's Bakery milk bun, with a shot of the hot stuff.",Mishmosh,$18.00,2018,Yes,,,,,,,,,,,
Son of Siam,"Thai coconut-glazed tandoor fish with lettuce, lemongrass and coriander mayo, and lime-pickled cucumber in an Arobake bun, with spiced crisps",Monsoon Poon,$19.00,2018,,,,,,Yes,,,,,,
Block Party,"Falafel patty with onion bhaji, borscht salsa, Zany Zeus Smoked Brinza and tzatziki on Asian slaw in an Arobake pumpkin brioche bun, with kūmara bravas",Moon 1,$17.00,2018,,,,,,,,Yes,,,,
Holi Sheep,"Indian-style mutton, Zany Zeus yoghurt and herb marinade, piko piko salsa and green chilli sambal in a rewena-style bao, with lamb fat fried chips",Mr Go's,$20.00,2018,,,,Yes,,,,,,,,
Tuk Tuk Tarakihi,"Prawn floss and kaffir lime-crumbed tarakihi with bean sprout, peanut and coconut salad, herbs and Sriracha mayo in a Pandoro squid-ink bun",Mt Vic Chippery,$14.00,2018,,,,,,Yes,,,,,,
Die Königin Burger,"Seasoned chicken breast with Swiss cheese, bacon, greens, avocado, cranberry and Bavarian mayo in a Brezelmania bun, with handcut fries",München,$21.00,2018,,Yes,,,,,,,,,,
Stag Do,"Venison patty with bacon, jalapeño and blue cheese sauce, slow-roasted roma tomato and cos lettuce, in an Arobake brioche bun, with roast vegetable crisps",Neo Café & Eatery,$20.00,2018,,,,,,,,,Yes,,,
The Sip and Dip,"Chargrilled beef patty, streaky bacon, Kingsmeade Riversdale pecorino and buttermilk fried courgette in a potato bun, with onion dip",Olive,$20.00,2018,Yes,,,,,,,,,,,
Mighty Ducks,"Pulled duck with crispy skin and pâté, giardiniera pickles, endive and saffron aioli in a housemade Italian milk bun, with duck fat fries",Ombra,$21.00,2018,,,Yes,,,,,,,,,
Peking Party Bird,"Slow-roasted pulled duck, mulled wine and orange marmalade, and chilli peanut slaw in a brioche bun, with a bird's nest of wonton crisps",One Fat Bird,$23.00,2018,,,Yes,,,,,,,,,
Always Better,"Preston's Grass Fed Girls lamb patty with tzatziki and cheese in a Clareville Bakery beetroot brioche bun, with Moroccan finger fries",One80 Restaurant,$24.00,2018,,,,Yes,,,,,,,,
Smoky Sweet Cheeks,"Pōhutukawa-smoked pork jowls, with Sichuan pepper slaw and plum ketchup in a spent grain bun, with fries",Panhead Custom Ales,$22.00,2018,,,,,Yes,,,,,,,
Life & Seoul of the Party,"Korean fried chicken and kimchi in a homemade steamed bun, with fries",Park Kitchen,$20.00,2018,,Yes,,,,,,,,,,
L.B. Burger,"Duck confit with kale slaw, Portobello mushroom, pickled ginger and smoked cheddar in a brioche bun, with duck fat potatoes and black pepper aioli",Parrotdog,$23.00,2018,,,Yes,,,,,,,,,
Penthouse Burger,"Honey soy chicken patty with satay sauce, romaine lettuce and tomato, with kūmara fries",Penthouse Cinema & Café,$20.00,2018,,Yes,,,,,,,,,,
"Drip, Pickle and Dip","Roast New York strip loin with horseradish aioli on a salted pretzel bun, with dipping gravy and crinkle-cut fries",Pickle & Pie,$24.00,2018,Yes,,,,,,,,,,,
The Neapolitan,"Beef and pork ragù, pan-fried Neapolitan greens, fresh mozzarella and caramelised onions in a wood-fired pizza bun",Pizza Pomodoro,$18.00,2018,Yes,,,,Yes,,,,,,,
The E.M Hemingway,"Pork, beef and bacon burger with crispy hazelnut slaw, pickled onion rings and smoked tomato sauce, with bacon-dusted fries and gravy",Plum,$18.00,2018,Yes,,,,Yes,,,,,,,
Oriental Bayger,"Slow-roasted pork belly, streaky bacon, mango and pineapple salsa and homemade relish, with handcut fries",Pomelo Kitchen and Bar,$23.00,2018,,,,,Yes,,,,,,,
The Gate Crasher,"Scotty's cold smoked scotch fillet with Fix & Fogg Smoke & Fire peanut butter, pickles, Swiss cheese, lettuce, pickled onion rings and aioli in a Clareville Bakery bun, with fries",Portlander,$25.00,2018,Yes,,,,,,,,,,,
BBQ Burger,"Chargrilled beef patty, Prodigal Daughter ""porkstrami"", grilled raclette, iceberg lettuce, tomato and deep-fried pickles in a homemade bun, with handcut chips",Pram Beach,$24.00,2018,Yes,,,,Yes,,,,,,,
Got Beef?,"Beer-braised beef brisket patty with smoked Cheddar, habanero mustard and piccalilli in an Arobake brioche bun, with fries",Pravda Café and Grill,$22.00,2018,Yes,,,,,,,,,,,
Mary Had a Little Lamb,"Za'atar spiced lamb patty, honey-pickled beetroot, salad, feta cream and mint basil mayo on a brioche bun, with handcut fries",Queen of Jackson,$22.00,2018,,,,Yes,,,,,,,,
Kungfu Burger,"Chinese-style marinated chicken in a vegetable pancake, with crispy chips, beetroot, caramelised onion and hoisin sauce, with spicy fries",Red Hill,$18.00,2018,,Yes,,,,,,,,,,
Orange Dragon Bao,"Deep-fried chicken with Szechuan-style orange sauce, chilli sauce and Chinese-style vinegar salad in a handmade bao, with fries or fried kūmara slices",Red Mount,$18.00,2018,,Yes,,,,,,,,,,
Rub My Belly,"Slow-cooked pork belly with fresh rocket, pear and Kāpiti Kahurangi Creamy Blue aioli in grilled pide, with crackling","Robert Harris Café, Coastlands",$20.00,2018,,,,,Yes,,,,,,,
The Mama Mia Burger,"Lemongrass chicken with brie, cranberry chutney, garlic and chive kimchi mayo in a Pandoro poppy seed kaiser bun, with handcut fries",Rock Yard Restaurant,$20.00,2018,,Yes,,,,,,,,,,
Animal House Redux,"Beef and mustard patty with Sriracha-candied bacon, housemade sauce, smoked Cheddar and beer-battered onion rings in a Pandoro milk bun, with fries",Rogue & Vagabond,$20.00,2018,Yes,,,,,,,,,,,
Pidgin Pāuā Party Patty,"Pāuā, garlic and parsley patty with watercress and lemon aioli on a Kawakawa bun, with bonito salt house fries",Salty Pidgin,$28.00,2018,,,,,,Yes,,,,,,
The Drunken Italian,"Beef patty with air-cured bresaola, Ubriaco Rosso formaggi, lettuce and tomato on a Pandoro ciabatta bun with steak fries",Scopa,$23.00,2018,Yes,,,,,,,,,,,
Vegan Pork Burger,"Jackfruit and lentil sloppy joe patty, vegan Cheddar cheese and slaw in a turmeric bun with homemade pickles",Seize,$19.00,2018,,,,,,,,Yes,,,,
Goldburger,"Double beef patties, double soft cheese, lettuce, pickles, special sauce in a soft white Leeds Street Bakery buns, with crinkle cut fries",Shepherd,$18.00,2018,Yes,,,,,,,,,,,
Bulgogi Burger,"Korean bulgogi beef patty with daikon, pears, kimchi and cheese in a furikake bun, with spiral potato chips and sesame mayo",Sojourn Café & Bar,$20.00,2018,Yes,,,,,,,,,,,
Do or Doughnut,"Beef patty, coffee and Huffman's chilli aioli with Prodigal Daughter bacon, pickles and cheese in a glazed doughnut bun, with horopito fries",Southern Cross Garden Bar Restaurant,$25.00,2018,Yes,,,,,,,,,,,
Are You Being Surfed?,"Whitebait fritter, prawn cocktail salad, chorizo, and buffalo tomato salsa in a Pandoro lemon and chilli milk bun, with fries",Spruce Goose,$25.00,2018,,,,,,Yes,,,,,,
Smoky Johns Sandwich,"Aged Angus beef patty with double-smoked bacon, tomato relish, vintage Cheddar and black pepper mayo in a Zaida's Bakery bun, with fries",St Johns Bar,$23.00,2018,Yes,,,,,,,,,,,
Dip & Drip,"Roast lamb shoulder, ‘cauliflower cheese’ cheese, mint sauce and red onion in a housemade bun, with gravy and root vegetable chips",Sterling Woodfire Eatery & Bar,$25.00,2018,,,,Yes,,,,,,,,
Te Papa Matariki Burger,"Slow-roasted pulled pork and pūhā, crispy bacon, iceberg lettuce and chive mayo in a kūmara rēwena bun, with bread and butter frickle and fries",Te Papa Café,$18.00,2018,,,,,Yes,,,,,,,
Milk and Cheese,"Beef patty with fig and smoked bacon jam in a Pandoro milk bun, with raclette sauce and fried pickles",The Arborist Rooftop Bar & Eatery,$25.00,2018,Yes,,,,,,,,,,,
The Spicy Winston,"Andouille-spiced beef patty, Creole tomato ketchup, green leaves and Swiss cheese in a Pandoro bun, with handcut fries",The Backbencher Gastropub,$25.00,2018,Yes,,,,,,,,,,,
Party in your Mouth,"Crispy fried chicken with your choice of heat (from mild to extreme), on a Zaida's Bakery milk bun, with Zany Zeus ranch dressing and fries",The Bangalore Polo Club,$18.00,2018,,Yes,,,,,,,,,,
Fireworks Belly Burger,"Maple-glazed pork belly burger with firework slaw, pop-rocks and Sriracha mayo in a milk bun, with crinkle-cut fries",The Borough,$23.00,2018,,,,,Yes,,,,,,,
