Burger Name,Burger Description,Restaurant,Price,Year,Beef,Chicken,Duck,Lamb,Pork,Seafood,Venison,Vegetarian,Sweet,Not Your Usual,Finalist,Winner
Don't get short with me,"Fork & Brewer hops and hoisin braised short rib with shiitake and cucumber pickles, Prana Greens, herbs, crispy shallots and Yum Yum sauce in a Brezelmania milk bun, with beef fat fries.

Vegetarian/vegan alternative: Mushroom House oyster mushroom patty, kūmara bun, regular fries.",Bellamys By Logan Brown,22,2021,Yes,,,,,,,,,,,
Yard Bird Burgel,Pickle-brined fried chicken breast with mustard slaw and sweet and hot chilli sauce in a housemade jalapeño and cheese bagel.,Best Ugly Bagels,19,2021,,Yes,,,,,,,,,,
Dont Cheeto'n Me,"Flamin' Hot Cheetos® coated fried chicken with BBQ honey mustard, bread and butter pickles, American cheese, and cabbage and spring onion slaw in a Brezelmania sesame potato bun, with cheesy Cheetos®.",Bethel Woods,27,2021,,Yes,,,,,,,,,,
Cheeky Little Devil,"Pure South beef patty with braised Pure South beef cheek, jalapeño poppers, cheese, horseradish crème and smoked tomato sauce in an Arobake paprika-spiced milk bun, with garlic prawn horns and cocktail sauce.",Bin44 Restaurant & Bar,27,2021,Yes,,,,,,,,,,,
Dunkin' Brisket,"Low and slow BBQ beef brisket with cold-smoked Black Forest ham, horseradish, cabbage slaw and pickles in a Pandoro ciabatta bun, with gravy and buttery mashed potatoes.

Vegetarian/vegan alternative: BBQ jackfruit.",Black&Orange BBQ @ The Waterfront,22,2021,Yes,,,,,,,,,,,
Bombay Sapph'fire,"Tandoori marinated chicken thigh with Zany Zeus halloumi, maple-roasted capsicum, tzatziki coriander slaw and Bombay Sapphire and mango chutney in a milk bun, with poppadoms and housemade maple satay sauce.",Blend Bar,21,2021,,Yes,,,,,,,,,,
Shrimply Irresistible,"Prawn katsu patty with housesmoked pork belly, sesame Kewpie slaw, Sriracha mayonnaise and Japanese-style BBQ sauce in a Zaida's milk bun, with spicy prawn crackers.",Boneface Brewing Co.,28,2021,,,,,Yes,Yes,,,,,,
One Step Beyond,"Beyond Burger patty with pickled beetroot, lettuce, pickles, grilled onions, jerk sauce and aioli in a Purebread organic bun, with spicy wedges and chipotle mayonnaise.",Boquita,25,2021,,,,,,,,Yes,,,,
Paninazzo,"Housemade Calabrese sausage with rocket pesto, goat cheese mousse, rocket salad and pickled green peppers in a housemade ciabatta bun, with rosemary roasted fries.",Bottega,25,2021,,,,,Yes,,,,,,,
The Aphrodisiac,"Awatoru Denver leg venison patty with Kingsmeade havarti, housemade plum and cherry chutney and shredded cos in a cocoa milk bun, with deer velvet salt shoestring fries.",Boulcott Street Bistro,25,2021,,,,,,,Yes,,,,,
P&PB01 - Kāpiti Variant,"Longbush free range pork and paua patty with lemongrass, Penray Gardens chillies, smoked lemon and artichoke remoulade, watercress, baby roquette leaves and a kūmara and wakame rosti in a Bens Buns brioche bun, with handcut fries and Marie Rose sauce.",Boundary Tap & Kitchen,26,2021,,,,,Yes,Yes,,,,,,
Holy Moly Guacamole,"Mexican-style spiced beef patty with smoked cheddar, sautéed chorizo slices, chipotle coleslaw, pico de gallo, guacamole and liquid cheese in a Brezelmania corn and chilli bun, with nacho chips, chipotle aioli and liquid nacho cheese.",Brew'd Boulcott,26,2021,Yes,,,,,,,,,,,
The Lucky Charmer,"Buttermilk fried chicken breast with rainbow slaw, sautéed ramen and sweet and spicy sauce in a Brezelmania potato bun, with wontons, prawn crackers and crispy noodles.",Brew'd Stokes Valley,22,2021,,Yes,,,,,,,,,,
The Sister Of Smokey,"Buttermilk fried chicken with prosciutto, pink onion strings, triple cheese sauce and Alabama white sauce in an Arobake sage bun.",Burger Liquor,19,2021,,Yes,,,,,,,,,,
Angry Bird,"Buttermilk fried chicken with Zany Zeus mascarpone, tomato relish, iceberg, red onion, Japanese-style slaw, jalapeños, honey mustard and housemade relish in a wholemeal bun, with fries.","BurgerFuel Courtenay place, Wellington Central",20,2021,,Yes,,,,,,,,,,
No Poblano,"Corn chip fried chicken with pineapple, jalapeño, Baxter's Original chilli lime sauce, Fix & Fogg chocolate peanut butter, iceberg, relish and aioli in a pumpkin potato bun.",Burgerfuel Cuba St,19,2021,,Yes,,,,,,,,,,
Streaky Overkill,"Beef patty with melted buffalo cheese, streaky bacon, kimchi, Zany Zeus yoghurt sambal sauce and housemade relish in a wholemeal bun, with fries.",Burgerfuel UpperHutt,20,2021,Yes,,,,,,,,,,,
Better Than a Boyfriend,"Beef patty with maple-smoked streaky bacon, Monterey Jack and smoked paprika mayonnaise in a glazed donut, with potato skin fries.

Vegetarian alternative: Beyond Burger patty, no bacon.",Buzz Cafe Restaurant,25,2021,Yes,,,,,,,,,,,
The Rendang,"Beef patty cooked in a rendang sauce with a fried egg, green chilli, tomato, lettuce, crispy shallots and chilli aioli in a Pandoro milk bun, with fries.",Café Classic,21,2021,Yes,,,,,,,,,,,
Gung Ho,"Korean-style fried chicken with shaved cabbage, pickled daikon, pickled cucumber, gochujang sauce and housemade kimchi aioli in a Clareville Bakery sesame brioche bun, with spicy gochugaru fries.",Café Medici,24,2021,,Yes,,,,,,,,,,
The Drunken Farmer,"Wagyu beef patty with fried onions, smoked aioli, glazed ham, dark beer mustard, smoked cheese and pickles in a housemade seeded pretzel bun, with skin-on shoestring fries.",Café Polo,25,2021,Yes,,,,,,,,,,,
Smoking Mussels,"Housesmoked mussel, paua and egg patty with ripped and fried agrias, lemon and caper mayonnaise, tomato and Kensington Gardens watercress in a grilled Pandoro milk bun, with housemade ketchup and triple-cooked chips.",Capitol Restaurant,32,2021,,,,,,Yes,,,,,,
Holy Chocomole!,"Mexican-spiced chocolate gelato patty with avocado gelato, freezedried plums, Bohemein Chocolates dark chocolate cheese and dulce de leche in a Zaida's chocolate bun.",Carrello del Gelato,17,2021,,,,,,,,,Yes,,,
Feeb Regrub,"Housemade hash brown with bacon, cheddar, lettuce and tomatoes in a Pandoro brioche bun, with housemade smoked paprika beef patty chips and chipotle sauce.",Caucus Restaurant,26,2021,Yes,,,,,,,,,,,
Excuse My French,"Beef and herbes de Provence patty with smoked streaky bacon, Grand Marnier mayonnaise, lettuce, Comté cheese and gherkins ion an Arobake baguette bun, with skin-on Fool's salt potato wedges.",Charley Noble Eatery & Bar,29,2021,Yes,,,,,,,,,,,
That's An Absolute Banger,"Hardy Street Quality Meats sausage with caramelised onions, housemade parmesan potato rosti and pea purée in a white rye bun topped with Hardy Street Quality Meats black pudding, with steak-cut fries and housemade black beer gravy.",Charlton's Silverstream,23,2021,,,,,,,,,,,,
Boozy Bird,"IPA-brined fried chicken with housemade bacon jalapeño and yellow cardi jam, pickled radicchio leaf and pickled daikon in a Zaida's black and white sesame seed Turkish bun with thick-cut fries.",Choice Bros Ghuznee Street,20,2021,,Yes,,,,,,,,,,
Mr Miyagi's Karaage,"Toasted rice and panko crumbed katsu chicken cutlet with sesame, lime and radish slaw, housemade pickles, sweet and tangy Apostle Hot Sauce sauce and tonkatsu mayonnaise in a Zaida's turmeric bun, with fries and katsu curry sauce.

Vegetarian/vegan alternative: Katsu cauliflower cutlet and vegan tonkatsu mayonnaise.",Chow,15,2021,,Yes,,,,,,,,,,
Prince of Persia,"Ember-roasted Primestar lamb with tabbouleh of grains, cucumber, onion, mint and Persian feta in a housemade wood-fired sourdough roll.",Cinderella,25,2021,,,,Yes,,,,,,,,
The Soul of Seoul,"Korean-style spiced beef patty with BBQ pork belly, kimchi, pickled cucumber and cabbage slaw in a Clareville Bakery brioche bun, with tempura vegetables, handcut wedges and bacon and chilli mayonnaise.

Vegetarian alternative: Vegetable patty.",Circus Restaurant and Cinema,28,2021,Yes,,,,,,,,,,,
Spicy Chookie,"Asian-style spicy grilled chicken with housemade coleslaw, cucumber, tomato, housemade vegetable cake, bacon and Asian-style aioli in a Zaida's sesame milk bun, with lotus chips.",Coco's Bar & Grill,25,2021,,Yes,,,,,,,,,,
Bambi at the Bayou,"Blackened venison patty with red onion, lettuce, tomato and bourbon aioli in a Brezelmania milk bun, floating on a Creole-style gumbo, with fries.",Coene's Bar & Eatery,30,2021,,,,,,Yes,Yes,,,,,
Get In-do-mie Belly,"Soy-braised chicken patty with crispy noodles, sesame slaw, fried shallots and a fried egg in a Zaida's brioche bun, with prawn crackers.

Vegetarian/vegan alternative: Jackfruit patty.",Concrete Bar,22,2021,,Yes,,,,,,,,,,
Fair/Unfair,"Jackfruit with housemade BBQ sauce, fried pickles and caramel apple slaw in a Willi's Kitchen sweet vegan donut, with curly fries.",Counter Culture Board Game Cafe & Bar,21,2021,,,,,,,,Yes,,,,
Mousetrap,"Fried Kāpiti Kahikatea camembert with prosciutto, lettuce and spicy plum sauce in a Zaida's Marmite milk bun, with sea salt potato crisps.",Craft Beer & Pizza,21,2021,,,,,,,,,,,,
Cobra Kai,"Didsbury Farm Wagyu beef with kakiage tempura, pickled cucumber, pickled daikon, wasabi mayonnaise and tonkatsu sauce in a glazed white bun, with prawn crackers.",Crouching Tiger,22,2021,Yes,,,,,,,,,,,
Black Pud,"Garage Project 'Beer' battered black pudding with Kewpie mayonnaise, pickled daikon, slaw and spicy mushy peas in a bun, with handcut fries.",Cutlers Entertainment,20,2021,,,,,Yes,,,,,,,
First Light Delight,"Grass-fed New Zealand Wagyu beef and pork shoulder patty with Kāpiti Swiss Te Horo, diced onion, American mustard and sweet soy onion sauce in a sesame seed brioche bun, with scalloped potato fries, house pickle and Korean-style ketchup.",D4 on Featherston,26,2021,Yes,,,,,,,,,,,
Sweet and Sow-er,"Housesmoked pork shoulder with Hoot sauce, apple and daikon slaw, pineapple jam and roast sesame mayonnaise in a housemade milk bun, with kimchi spiced pork rinds.",Daisy's,24,2021,,,,,Yes,,,,,,,
Mystic-(en) Chick with Crisp Roots,"Crispy South Indian spiced chicken with cauliflower pickle slaw, lettuce, tomato chutney and mayo-sala sauce in a housemade bun, with handcut fries and curry leaf seasoning.",DHANA EATERY,19,2021,,Yes,,,,,,,,,,
The Fat Elvis,"Grilled beef patty with pepper candied bacon, American cheese, Fix & Fogg Smoke & Fire peanut butter, grape jelly, sweet and spicy pickles and beer battered banana fritters in a Brezelmania brioche bun topped with cherries, with shoestring fries and a dipping vanilla shake.",Dillinger's,29,2021,Yes,,,,,,,,,,,
Wah Gwaan,"Smoked and fried Jerk chicken thigh with Jerk cured bacon, charred pineapple mayonnaise, slaw, avocado and Sriracha lime mayonnaise in a brioche bun.",Dirty Burger Cuba Street,18,2021,,Yes,,,Yes,,,,,,,
Texas Crutch,"200g Primestar 12-hour smoked beef brisket with emmental cheese, cumin pickled red onion, dill pickles, hot smoky BBQ sauce and habanero mustard mayonnaise in a buttered and double toasted white bun, with buffalo chicken fries.",Dirty Burger Petone,25,2021,Yes,,,,,,,,,,,
Upper Class Bogan,"200g Primestar beef patty with refried Korean-style pork belly, chijeu, onions, pickles, spicy Korean BBQ sauce and gochujang mayonnaise in a toasted brioche bun.",Dirty Burger Upper Hutt,22,2021,Yes,,,,Yes,,,,,,,
Catch of the Day,"Fish with rocket, salmon caviar, shrimp béarnaise, cos and aioli in a Zaida's brioche bun, with battered crab sticks.",Dirty Little Secret,25,2021,,,,,,Yes,,,,,,
Fowl Play,"Spicy chicken thigh with shredded hoisin duck, bok choy, mung beans, mango gel and tangy lime mayonnaise in an Arobake coconut milk and sesame bun, with chilli salted prawn quackers. 

Vegan alternative: Tofu with mushrooms and vegan mayonnaise.",Dockside Restaurant & Bar,26,2021,,Yes,Yes,,,,,,,,,
French Onion Classic,"Aro Brewing oat stout braised beef cheek with caramelised onion and bacon jam, and emmental and truffled dijonnaise in a housemade parmesan potato bun, with chive potato croquettes.",Dough Bakery,26,2021,Yes,,,,,,,,,,,
Good Morning Vietnam,"Free range lemongrass chicken with coconut and mint slaw and chilli mayonnaise in a Brezelmania milk bun, with coconut flakes, crispy noodles, Asian Food Republic sesame and coconut salt.",Dragonfly,25,2021,,Yes,,,,,,,,,,
The Battle of the Waffle,"Southern fried chicken with maple glazed bacon, a Chester Road fried egg, iceberg chiffonade and secret sauce in a Belgium waffle bun, with kūmara wedges and Memphis-style slaw.",Duke of Wellington,25,2021,,Yes,,,,,,,,,,
Kingston Tastee,"Free range smashed pork and beef patty with mango and pork fat chutney, blackened Penray Gardens chilli mayo, housemade cheese and spiced tobacco onions in a housemade milk bun. 

Vegan alternative: Black Bean, roast mushroom and eggplant patty with mango chutney, no cheese, vegan mayo.",Egmont St. Eatery,25,2021,,,,,Yes,,,,,,,
Smokin' Chickadee,"Housesmoked chicken breast with smoky Premier Beehive middle bacon, melted Kāpiti Pakari smoked cheddar, roast red pepper hummus and sauerkraut in a sesame seed bun.",EKIM Burgers,14,2021,,Yes,,,,,,,,,,
The Gaucho,"Flame-grilled Wairarapa spiced lamb and olive patty with red lettuce, scorched tomato, seared provolone and chimichurri sauce in an Arobake charcoal bun, with sweet potato fries.",El Barrio,26,2021,,,,Yes,,,,,,,,
Abelardo Montoya,"Kowhai Grove ostrich patty with mojo de ajo, smoked provolone, zucchini and apple slaw and kiwifruit chimichurri in an Arobake potato bun, with shoestring fries.",El Culo del Mundo,23,2021,,,,,,,,,,,,
Pig in the Hen House,"Fried chicken with housemade coffee-infused bacon chutney, cheddar, apple and fennel slaw and ponzu aioli in a Brezelmania charcoal bun.",Enigma Cafe,18,2021,,Yes,,,,,,,,,,
Crispy Business,"Char-grilled beef sirloin with rocket, slow-roast caramelised onion, battered onion rings, onion dip, and sea salt crisps in an Arobake milk bun, with potato fries and aioli.",Eva Beva,26,2021,Yes,,,,,,,,,,,
The Rescued,"Wild shot tahr patty with American cheddar, rescued butter pickles, lettuce and housemade BBQ sauce in a Shelly Bay Baker bun.

Please note: available on Tuesday lunchtimes for takeaway only. 
This burger is pay-as-you-feel, you decide the price! Every $10 Everybody Eats receives means they can serve two three-course meals to people in need.",Everybody Eats at LTD.,,2021,,,,,,,,,,,,
Ottoman Empire,"Lamb patty with Zany Zeus Greek yoghurt, grilled onions, Kōkihi Gardens pea shoots, Kosher dill pickles and roasted red pepper harissa mayonnaise in a sesame seed milk bun, with potato and cheese croquette.",Field & Green,24,2021,,,,Yes,,,,,,,,
The Notorious P.I.G,"Drunken spiced rum sticky pulled pork with fried shallots, apple slaw, Prana Greens radish rambo and watercress and cheddar in a pulled pork filled filo pastry bun, topped with crackling.",FILO,24,2021,,,,,Yes,,,,,,,
Flamingonaut,"Grassfed beef patty with onion rings, smoked cheddar, coloured poppadom, basil aioli and housemade Jack Daniels sauce in a Brezelmania silver potato bun, with curly fries and burger rings. 

Vegetarian alternative: Plant-based patty.",Flamingo Joes,27,2021,Yes,,,,,,,,,,,
"The Bloody Burger, Innit!","Black pudding with bacon, truffled brie, iceberg, tomato, fried egg and smoked paprika aioli in a Brezelmania charcoal potato bun.",Floriditas,20,2021,,,,,Yes,,,,,,,
Pretty Fly for a Fun Guy,"Crumbed Parkvale portobello mushroom stuffed with mozzarella and Kāpiti Kōwhai Gruyère with butterhead lettuce, tomato, Food Envy pickles and truffle aioli in an Arobake rosemary charcoal bun.",Food Envy,20,2021,,,,,,,,Yes,,,,
The Squeaky Blinder,"Pork belly with crackling, braised apple, red cabbage, beer and apple mustard and IPA beer jus in a Zaida's pretzel bun, with herb dust potato gems.",Fork & Brewer,26,2021,,,,,Yes,,,,,,,
Bone Appetit,"Dry-aged beef brisket patty with cheddar, bone marrow, red onion, pickle and paprika mayonnaise in a beef fat buttered Brezelmania potato bun, with oregano salted skin-on shoestrings, black truffle mayonnaise and a hot marrow bone malt whisky shot.",Foxglove Bar & Kitchen,32,2021,Yes,,,,,,,,,,,
The Matador,"Slow-cooked pulled beef brisket with Huffman's chilli sauce smoked chilli beans, stuffed cream cheese jalapeño, smoked tabasco onions, lettuce and tomato in a Brezelmania paprika bun, with housemade tortilla chips and salsa. 

Vegetarian alternative: Pulled jackfruit.",Frankie's Bar + Eatery,25,2021,Yes,,,,,,,,,,,
Pasta La Vista Baby,"Crumbed pork and fennel sausage, pancetta, parmesan and black pepper carbonara patty with melted smoked provolone cheese, watercress and tomato chutney  in an Arobake bun, with shoestring fries and asiago cheese sauce. 

Vegetarian alternative: Vegetarian carbonara patty.",Fratelli,28,2021,,,,,Yes,,,,,,,
1st Gear to Smokey Joe's,"Smashed dry-aged beef brisket patty with Linkwater aged cheddar, pickled onions, Preston's bourbon maple smoked and braised brisket and herb aioli in a Brezelmania sesame potato bun, with beef tallow steak fries and dipping gravy.",Gear Street,25,2021,Yes,,,,,,,,,,,
Ms Asia,"Crispy chicken thigh coated in Korean Chilli Sauce with deep-fried Zelati vanilla ice cream, asian slaw and pickled radish in a Zaida's bun, with curry cornflake chips.",Gemini Cafe & Eatery,19,2021,,Yes,,,,,,,,,,
The Fixer,"Southern-fried 'chicken' with Miss Korea Kimchi, Edible Earth organic salad greens, cucumber, snow pea shoots, vegan Sriracha aioli and housemade sweet and sour sauce in a toasted bap bun.",Get Fixed Bicycle Cafe,17,2021,,,,,,,,Yes,,,,
Captain Crunch,"Handcut Randwick Meats chuck steak with cheddar, sautéed spinach, gherkins and aioli in an Arobake milk bun, deep-fried, with carrot purée, pickled red cabbage and gherkin.",Goldmine Co,25,2021,Yes,,,,,,,,,,,
Mince Winch,"Wellington Halal Butchers beef patty with housemade smoked chilli ketchup, housemade cider and cardamom mustard, gherkin, dill pickled onion and cheddar in a brioche bun.

Vegetarian alternative: Vegetarian patty.",Good Boy,15,2021,Yes,,,,,,,,,,,
The Thai Pancake,"Scottys Meats chorizo beef patty with pickles, C'est Cheese Havarti in a housemade Thai roti bun topped with housemade mayonnaise and herbs.",Goodtimes Food,16,2021,Yes,,,,,,,,,,,
Mango Fishin' for Crab,"Old Bay-dusted Southern fried soft shell crab with mango, chilli and spring onion slaw, pickled onion, Kewpie and Sriracha mayonnaise in a charcoal Brezelmania potato bun.",Gorilla @ Brew'd Island Bay,23,2021,,,,,,Yes,,,,,,
Well Proppa Toppa,"Smashed beef patty with panko crumbed cheese bomb lasagna, pepperoncini, provolone cheese and basil mayonnaise in a Brezelmania milk bun topped with marinara sauce, mozzarella and pepperoni.",Gorilla @ Rizzo's - Station Gardens,23,2021,Yes,,,,,,,,,,,
Goato Tangiers,"Double Moroccan-spiced lamb patties with torched goat cheese, brie, caramelized orange and onion jam, sour cream and sweet kimchi mayonnaise in a Brezelmania potato bun, with sumac and parmesan fries.",Gorilla Burger (Airport),19,2021,,,,Yes,,,,,,,,
Krispy Karen,"Beef and bacon smashed patty with chicken crackling, American cheese, red onion, dirty southern iceberg slaw, dill pickles and Rocket Fuel Sauce in a Brezelmania vegan seedless bun.",Gorilla Burger (Leeds St),19,2021,Yes,,,,Yes,,,,,,,
Cheesy Louisey,"Juicy Lucy gouda-filled patty with Swiss cheese, smoked brisket, pink pickled onions, bacon jam and cheddar mayo in a Brezelmania cheese milk bun.",Gorilla Burger (Miramar),21,2021,Yes,,,,,,,,,,,
The Lechon,"Sliced roast pork belly and shoulder in a soy sauce, garlic, fresh ginger, lemongrass and Thai basil marinade with grilled Parkvale mushrooms, Philippine-style coleslaw and pork crackling in a Clareville Bakery Parkvale mushroom dust brioche bun, with roasted sweet potato skewer and salted caramel sauce.",Greytown Hotel - The Top Pub,25,2021,,,,,Yes,,,,,,,
Smash 'em Bro,"Houseground beef patty with Swiss cheese, cheddar, pickles, red onion, lettuce and Epic Burger Sauce Vol 3 in a Brezelmania milk bun. 

Vegetarian alternative: Beetroot and pearl barley patty.",Grill Meats Beer,15,2021,Yes,,,,,,,,,,,
Barbacoa Gordi-burger,"Mexican-style banana leaf-wrapped slow-cooked beef cheek and chuck barbacoa patty with cucumber and red onion in a deep-fried housemade emmental cheese filled corn dough Gordita, with barbacoa jus.",Heyday Beer Co,24,2021,Yes,,,,,,,,,,,
Sichuan Surf 'n' Turf,"250g black pepper and Chinese five-spice beef patty with Garage Project 'Beer' marinated garlic spicy prawns, Shoots NZ microgreens, cheddar and Sichuan chilli mayonnaise in a brioche bun.",Hideout,15,2021,Yes,,,,,Yes,,,,,,
The Beast,"Double housemade Wagyu beef patties with American cheese, white onion, housemade dill pickles and Russian dressing in a housemade soft sourdough potato bun.",Highwater,25,2021,Yes,,,,,,,,,,,
Seaweed Eat Weeds,"Seaweed patty with foraged greens in a housemade soft hemp infused bun, with housemade kelp seasoned crisps.",Hillside Kitchen,20,2021,,,,,,,,Yes,,,,
Ugly Duckling,"Duck, ginger and sesame patty with housesmoked streaky bacon, red cabbage slaw, Swiss cheese, soy and Sriracha aioli in a Cafe Lane brioche bun, with handcut Asian-style fries.",Hola Mexican Kapiti,25,2021,,,Yes,,,,,,,,,
Glow Party,"Venom-smashed chuck and brisket patty with smoked bacon, black-light cheese sauce, pickles and Baxter's Original dragon breath sauce in a Brezelmania charcoal bun, with chilli tater tots and sauce.",Honey Badger Saloon,25,2021,Yes,,,,,,,,,,,
The Bloody Outrageous,"Pure South beef patty with Fix & Fogg Smoke & Fire mayonnaise, tomato sauce, American mustard, pickles, cheddar, Swiss cheese and jalapeño jam in a Zaida’s Sriracha brioche bun, with a Virgin Mary, famous popcorn chicken skewer and kimchi bao and pickles.",Hot Sauce,16,2021,Yes,,,,,,,,,,,
Brave New Wagyu World,"Dry-aged smashed beef patty with smoked butter Wagyu rump slices, American cheese, housemade green sauce and rich truffle mayonnaise in a Brezelmania charcoal potato bun, with skin-on shoestring fries.",Huxley's,27,2021,Yes,,,,,,,,,,,
Down the Hatch,"250g beef patty with spicy tomato relish, gherkin mayonnaise, smoked aged cheddar and green endive in a Brezelmania brioche bun, with Shepherd umami seasoning dusted curly fries.",Interislander,19,2021,Yes,,,,,,,,,,,
Big Yen,"PrimeStar prime Angus beef patty with fried haggis, Whittaker's 72% chocolate and chipotle mole, smoked tomatillo salsa, pickled onions and baconnaise in a Brezelmania bun, with hash bites.",Iron Horse Miramar,24,2021,Yes,,,,,,,,,,,
The Real Dill,"Beef and chorizo patty with Totara aged cheddar, mānuka smoked ham sirloin thick cut bacon, mustard aioli, balsamic caramelised onions and pickles in a Zaida's milk bun, with deep-fried pickles.",Jack Hackett's,21,2021,Yes,,,,,,,,,,,
The Bounty Hunter,"Spiced pulled pork shoulder with house BBQ sauce and ranch dressing in a Pandora milk bun, with handcut chunky fries.",Jardin Grill,27,2021,,,,,Yes,,,,,,,
The Rancher,"Prime Angus beef and spicy chorizo sausage patty, Swiss cheese, candied jalapeño, lettuce, tomato salsa, garlic chipotle mayo and crispy onion rings in a Pandoro gourmet milk bun, with french fries.",Juniper Restaurant & Bar,25,2021,Yes,,,,Yes,,,,,,,
Burgembira 2.0,"Crumbed eggplant with grilled field mushroom, eggplant caponata, Kate's Kombucha, spinach and vegan cheese in a steamed savoury cake, with vegetable pakora and vegan mint yoghurt chutney.",Kanama Kopi Kadai,25,2021,,,,,,,,Yes,,,,
Spore of the Moment,"Roasted Parkvale mushroom with panko-crumbed halloumi, pickled golden beetroot, rocket and Zany Zeus yoghurt garlic sauce in an Arobake beetroot bun, with Greek potato wedges.",Kanteen,20,2021,,,,,,,,Yes,,,,
The Humble Phoenix,"Beef cheek slow-cooked in milk stout with apple slaw, Swiss cheese, buttermilk battered onions and Mushroom House phoenix mushrooms in a Zaida's turmeric bun, with a beer-battered pickle and shoestring fries.",Kelburn Village Pub,21,2021,Yes,,,,,,,,,,,
